season,Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,Ranking
2010,Buffalo Bills,17,289,17,1866,109.8,2771,163,4637,272.8,1
2010,Carolina Panthers,17,404,23.8,1935,113.8,3266,192.1,5201,305.9,2
2010,San Francisco 49ers,17,365,21.5,1760,103.5,3510,206.5,5270,310,3
2010,New England Patriots,17,303,17.8,2103,123.7,3181,187.1,5284,310.8,4
2010,Cleveland Browns,17,371,21.8,1857,109.2,3439,202.3,5296,311.5,5
2010,Chicago Bears,17,407,23.9,2127,125.1,3257,191.6,5384,316.7,6
2010,New Orleans Saints,17,335,19.7,1589,93.5,3821,224.8,5410,318.2,7
2010,Denver Broncos,17,322,18.9,1892,111.3,3652,214.8,5544,326.1,8
2010,Green Bay Packers,17,371,21.8,1855,109.1,3724,219.1,5579,328.2,9
2010,Philadelphia Eagles,17,385,22.6,1834,107.9,3756,220.9,5590,328.8,10
2010,Arizona Cardinals,17,366,21.5,1952,114.8,3645,214.4,5597,329.2,11
2010,Tennessee Titans,17,354,20.8,1438,84.6,4169,245.2,5607,329.8,12
2010,Tampa Bay Buccaneers,17,353,20.8,1573,92.5,4062,238.9,5635,331.5,13
2010,Las Vegas Raiders,17,439,25.8,1943,114.3,3789,222.9,5732,337.2,14
2010,Miami Dolphins,17,373,21.9,1867,109.8,3871,227.7,5738,337.5,15
2010,Indianapolis Colts,17,365,21.5,1854,109.1,3980,234.1,5834,343.2,16
2010,Los Angeles Rams,17,372,21.9,1754,103.2,4109,241.7,5863,344.9,17
2010,Cincinnati Bengals,17,376,22.1,1742,102.5,4222,248.4,5964,350.8,18
2010,Dallas Cowboys,17,358,21.1,1918,112.8,4049,238.2,5967,351,19
2010,Jacksonville Jaguars,17,457,26.9,2127,125.1,3875,227.9,6002,353.1,20
2010,New York Giants,17,416,24.5,2193,129,3839,225.8,6032,354.8,21
2010,Washington Football Team,17,434,25.5,1775,104.4,4333,254.9,6108,359.3,22
2010,Los Angeles Chargers,17,459,27,2361,138.9,3761,221.2,6122,360.1,23
2010,Pittsburgh Steelers,17,398,23.4,2483,146.1,3656,215.1,6139,361.1,24
2010,Baltimore Ravens,17,392,23.1,1436,84.5,4742,278.9,6178,363.4,25
2010,Atlanta Falcons,17,459,27,2242,131.9,3952,232.5,6194,364.4,26
2010,Kansas City Chiefs,17,364,21.4,1999,117.6,4273,251.4,6272,368.9,27
2010,Seattle Seahawks,17,366,21.5,1932,113.6,4513,265.5,6445,379.1,28
2010,Detroit Lions,17,467,27.5,2296,135.1,4160,244.7,6456,379.8,29
2010,Minnesota Vikings,17,426,25.1,2222,130.7,4300,252.9,6522,383.6,30
2010,Houston Texans,17,452,26.6,2418,142.2,4117,242.2,6535,384.4,31
2010,New York Jets,17,504,29.6,2351,138.3,4409,259.4,6760,397.6,32
2011,Pittsburgh Steelers,16,227,14.2,1597,99.8,2751,171.9,4348,271.8,1
2011,Houston Texans,16,278,17.4,1536,96,3035,189.7,4571,285.7,2
2011,Baltimore Ravens,16,266,16.6,1482,92.6,3140,196.2,4622,288.9,3
2011,San Francisco 49ers,16,229,14.3,1236,77.2,3695,230.9,4931,308.2,4
2011,New York Jets,16,363,22.7,1777,111.1,3216,201,4993,312.1,5
2011,Jacksonville Jaguars,16,329,20.6,1667,104.2,3341,208.8,5008,313,6
2011,Cincinnati Bengals,16,323,20.2,1675,104.7,3385,211.6,5060,316.2,7
2011,Philadelphia Eagles,16,328,20.5,1801,112.6,3397,212.3,5198,324.9,8
2011,Seattle Seahawks,16,315,19.7,1797,112.3,3518,219.9,5315,332.2,9
2011,Cleveland Browns,16,307,19.2,2359,147.4,2959,184.9,5318,332.4,10
2011,Kansas City Chiefs,16,338,21.1,2112,132,3221,201.3,5333,333.3,11
2011,Atlanta Falcons,16,350,21.9,1552,97,3786,236.6,5338,333.6,12
2011,Washington Football Team,16,367,22.9,1884,117.8,3553,222.1,5437,339.8,13
2011,Dallas Cowboys,16,347,21.7,1585,99.1,3906,244.1,5491,343.2,14
2011,Miami Dolphins,16,313,19.6,1530,95.6,3992,249.5,5522,345.1,15
2011,San Diego Chargers,16,377,23.6,1955,122.2,3591,224.4,5546,346.6,16
2011,Chicago Bears,16,341,21.3,1542,96.4,4065,254.1,5607,350.4,17
2011,Arizona Cardinals,16,348,21.8,1986,124.1,3696,231,5682,355.1,18
2011,Tennessee Titans,16,317,19.8,2053,128.3,3629,226.8,5682,355.1,19
2011,Denver Broncos,16,390,24.4,2021,126.3,3704,231.5,5725,357.8,20
2011,Minnesota Vikings,16,449,28.1,1712,107,4019,251.2,5731,358.2,21
2011,St. Louis Rams,16,407,25.4,2433,152.1,3301,206.3,5734,358.4,22
2011,Detroit Lions,16,387,24.2,2050,128.1,3831,239.4,5881,367.6,23
2011,New Orleans Saints,16,339,21.2,1738,108.6,4157,259.8,5895,368.4,24
2011,Indianapolis Colts,16,430,26.9,2303,143.9,3632,227,5935,370.9,25
2011,Buffalo Bills,16,434,27.1,2224,139,3714,232.1,5938,371.1,26
2011,New York Giants,16,400,25,1940,121.2,4082,255.1,6022,376.4,27
2011,Carolina Panthers,16,429,26.8,2093,130.8,3949,246.8,6042,377.6,28
2011,Oakland Raiders,16,433,27.1,2178,136.1,4023,251.4,6201,387.6,29
2011,Tampa Bay Buccaneers,16,494,30.9,2497,156.1,3814,238.4,6311,394.4,30
2011,New England Patriots,16,342,21.4,1874,117.1,4703,293.9,6577,411.1,31
2011,Green Bay Packers,16,359,22.4,1789,111.8,4796,299.8,6585,411.6,32
2012,Pittsburgh Steelers,16,314,19.6,1450,90.6,2963,185.2,4413,275.8,1
2012,Denver Broncos,16,289,18.1,1458,91.1,3194,199.6,4652,290.8,2
2012,San Francisco 49ers,16,273,17.1,1507,94.2,3203,200.2,4710,294.4,3
2012,Seattle Seahawks,16,245,15.3,1649,103.1,3250,203.1,4899,306.2,4
2012,Chicago Bears,16,277,17.3,1627,101.7,3423,213.9,5050,315.6,5
2012,Cincinnati Bengals,16,320,20,1715,107.2,3400,212.5,5115,319.7,6
2012,Houston Texans,16,331,20.7,1560,97.5,3612,225.8,5172,323.2,7
2012,New York Jets,16,375,23.4,2138,133.6,3036,189.8,5174,323.4,8
2012,San Diego Chargers,16,350,21.9,1542,96.4,3681,230.1,5223,326.4,9
2012,Carolina Panthers,16,363,22.7,1761,110.1,3568,223,5329,333.1,10
2012,Green Bay Packers,16,336,21,1896,118.5,3492,218.2,5388,336.8,11
2012,Arizona Cardinals,16,357,22.3,2192,137,3213,200.8,5405,337.8,12
2012,Detroit Lions,16,437,27.3,1889,118.1,3569,223.1,5458,341.1,13
2012,St. Louis Rams,16,348,21.8,1880,117.5,3602,225.1,5482,342.6,14
2012,Philadelphia Eagles,16,444,27.8,2021,126.3,3470,216.9,5491,343.2,15
2012,Minnesota Vikings,16,348,21.8,1692,105.8,3908,244.2,5600,350,16
2012,Baltimore Ravens,16,344,21.5,1965,122.8,3650,228.1,5615,350.9,17
2012,Oakland Raiders,16,443,27.7,1897,118.6,3775,235.9,5672,354.5,18
2012,Dallas Cowboys,16,400,25,2003,125.2,3684,230.2,5687,355.4,19
2012,Kansas City Chiefs,16,425,26.6,2171,135.7,3533,220.8,5704,356.5,20
2012,Miami Dolphins,16,317,19.8,1734,108.4,3974,248.4,5708,356.8,21
2012,Buffalo Bills,16,435,27.2,2333,145.8,3473,217.1,5806,362.9,22
2012,Cleveland Browns,16,368,23,1898,118.6,3923,245.2,5821,363.8,23
2012,Atlanta Falcons,16,299,18.7,1971,123.2,3878,242.4,5849,365.6,24
2012,New England Patriots,16,331,20.7,1630,101.9,4342,271.4,5972,373.2,25
2012,Indianapolis Colts,16,387,24.2,2200,137.5,3788,236.8,5988,374.2,26
2012,Tennessee Titans,16,471,29.4,2035,127.2,3964,247.8,5999,374.9,27
2012,Washington Football Team,16,388,24.2,1532,95.8,4511,281.9,6043,377.7,28
2012,Tampa Bay Buccaneers,16,394,24.6,1320,82.5,4758,297.4,6078,379.9,29
2012,Jacksonville Jaguars,16,444,27.8,2256,141,3832,239.5,6088,380.5,30
2012,New York Giants,16,344,21.5,2066,129.1,4068,254.2,6134,383.4,31
2012,New Orleans Saints,16,454,28.4,2361,147.6,4681,292.6,7042,440.1,32
2013,Seattle Seahawks,16,231,14.4,1626,101.6,2752,172,4378,273.6,1
2013,Carolina Panthers,16,241,15.1,1391,86.9,3429,214.3,4820,301.2,2
2013,Cincinnati Bengals,16,305,19.1,1544,96.5,3344,209,4888,305.5,3
2013,New Orleans Saints,16,304,19,1786,111.6,3105,194.1,4891,305.7,4
2013,San Francisco 49ers,16,272,17,1535,95.9,3536,221,5071,316.9,5
