season ,Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,Ranking
2010,San Diego Chargers,16,441,27.6,1810,113.1,4519,282.4,6329,395.6,1
2010,Philadelphia Eagles,16,439,27.4,2324,145.2,3906,244.1,6230,389.4,2
2010,Houston Texans,16,390,24.4,2042,127.6,4144,259,6186,386.6,3
2010,Indianapolis Colts,16,435,27.2,1483,92.7,4609,288.1,6092,380.8,4
2010,New York Giants,16,394,24.6,2200,137.5,3885,242.8,6085,380.3,5
2010,New Orleans Saints,16,384,24,1519,94.9,4441,277.6,5960,372.5,6
2010,Dallas Cowboys,16,394,24.6,1786,111.6,4042,252.6,5828,364.2,7
2010,New England Patriots,16,518,32.4,1973,123.3,3847,240.4,5820,363.8,8
2010,Green Bay Packers,16,388,24.2,1606,100.4,4124,257.8,5730,358.1,9
2010,Oakland Raiders,16,410,25.6,2494,155.9,3180,198.8,5674,354.6,10
2010,New York Jets,16,367,22.9,2374,148.4,3242,202.6,5616,351,11
2010,Kansas City Chiefs,16,366,22.9,2627,164.2,2968,185.5,5595,349.7,12
2010,Denver Broncos,16,344,21.5,1544,96.5,4038,252.4,5582,348.9,13
2010,Pittsburgh Steelers,16,375,23.4,1924,120.2,3601,225.1,5525,345.3,14
2010,Jacksonville Jaguars,16,353,22.1,2395,149.7,3065,191.6,5460,341.2,15
2010,Atlanta Falcons,16,414,25.9,1891,118.2,3567,222.9,5458,341.1,16
2010,Detroit Lions,16,362,22.6,1613,100.8,3810,238.1,5423,338.9,17
2010,Washington Football Team,16,302,18.9,1461,91.3,3913,244.6,5374,335.9,18
2010,Tampa Bay Buccaneers,16,341,21.3,2001,125.1,3361,210.1,5362,335.1,19
2010,Cincinnati Bengals,16,322,20.1,1522,95.1,3767,235.4,5289,330.6,20
2010,Miami Dolphins,16,273,17.1,1643,102.7,3527,220.4,5170,323.1,21
2010,Baltimore Ravens,16,357,22.3,1831,114.4,3335,208.4,5166,322.9,22
2010,Minnesota Vikings,16,281,17.6,1942,121.4,3097,193.6,5039,314.9,23
2010,San Francisco 49ers,16,305,19.1,1657,103.6,3356,209.8,5013,313.3,24
2010,Buffalo Bills,16,283,17.7,1720,107.5,3158,197.4,4878,304.9,25
2010,St. Louis Rams,16,289,18.1,1578,98.6,3268,204.2,4846,302.9,26
2010,Tennessee Titans,16,356,22.2,1727,107.9,3107,194.2,4834,302.1,27
2010,Seattle Seahawks,16,310,19.4,1424,89,3341,208.8,4765,297.8,28
2010,Cleveland Browns,16,271,16.9,1646,102.9,2989,186.8,4635,289.7,29
2010,Chicago Bears,16,334,20.9,1616,101,3015,188.4,4631,289.4,30
2010,Arizona Cardinals,16,289,18.1,1388,86.8,2921,182.6,4309,269.3,31
2010,Carolina Panthers,16,196,12.2,1846,115.4,2289,143.1,4135,258.4,32
2011,New Orleans Saints,16,547,34.2,2127,132.9,5347,334.2,7474,467.1,1
2011,New England Patriots,16,513,32.1,1764,110.2,5084,317.8,6848,428,2
2011,Green Bay Packers,16,560,35,1558,97.4,4924,307.8,6482,405.1,3
2011,Philadelphia Eagles,16,396,24.8,2276,142.2,4110,256.9,6386,399.1,4
2011,Detroit Lions,16,474,29.6,1523,95.2,4814,300.9,6337,396.1,5
2011,San Diego Chargers,16,406,25.4,1864,116.5,4426,276.6,6290,393.1,6
2011,Carolina Panthers,16,406,25.4,2408,150.5,3829,239.3,6237,389.8,7
2011,New York Giants,16,394,24.6,1427,89.2,4734,295.9,6161,385.1,8
2011,Oakland Raiders,16,359,22.4,2110,131.9,3962,247.6,6072,379.5,9
2011,Atlanta Falcons,16,402,25.1,1834,114.6,4192,262,6026,376.6,10
2011,Dallas Cowboys,16,369,23.1,1807,112.9,4201,262.6,6008,375.5,11
2011,Pittsburgh Steelers,16,325,20.3,1903,118.9,4054,253.4,5957,372.3,12
2011,Houston Texans,16,381,23.8,2448,153,3506,219.1,5954,372.1,13
2011,Buffalo Bills,16,372,23.2,1921,120.1,3703,231.4,5624,351.5,14
2011,Baltimore Ravens,16,378,23.6,1996,124.8,3423,213.9,5419,338.7,15
2011,Washington Football Team,16,288,18,1614,100.9,3773,235.8,5387,336.7,16
2011,Tennessee Titans,16,325,20.3,1438,89.9,3923,245.2,5361,335.1,17
2011,Minnesota Vikings,16,340,21.2,2318,144.9,2957,184.8,5275,329.7,18
2011,Arizona Cardinals,16,312,19.5,1625,101.6,3567,222.9,5192,324.5,19
